Time,Queue Size,Event
0,1,size
0,2,size
0.008,1,size
0.010000000000000002,2,size
0.010000000000000002,3,size
0.016,2,size
0.018000000000000002,3,size
0.018000000000000002,4,size
0.024,3,size
0.026000000000000002,4,size
0.026000000000000002,5,size
0.032,4,size
0.034,5,size
0.034,6,size
0.04,5,size
0.042,6,size
0.042,7,size
0.048,6,size
0.05,7,size
0.05,8,size
0.056,7,size
0.058,8,size
0.058,9,size
0.064,8,size
0.066,9,size
0.066,10,size
0.07200000000000001,9,size
0.07400000000000001,10,size
0.07400000000000001,11,size
0.08000000000000002,10,size
0.08200000000000002,11,size
0.08200000000000002,12,size
0.08800000000000002,11,size
0.09000000000000002,12,size
0.09000000000000002,13,size
0.09600000000000003,12,size
0.09800000000000003,13,size
0.09800000000000003,14,size
0.10400000000000004,13,size
0.10600000000000004,14,size
0.10600000000000004,15,size
0.11200000000000004,14,size
0.11400000000000005,15,size
0.11400000000000005,16,size
0.12000000000000005,15,size
0.12200000000000005,16,size
0.12200000000000005,17,size
0.12800000000000006,16,size
0.13000000000000006,17,size
0.13000000000000006,18,size
0.13600000000000007,17,size
0.13800000000000007,18,size
0.13800000000000007,19,size
0.14400000000000007,18,size
0.14600000000000007,19,size
0.14600000000000007,20,size
0.15200000000000008,19,size
0.15400000000000008,20,size
0.15400000000000008,21,size
0.1600000000000001,20,size
0.1620000000000001,21,size
0.1620000000000001,22,size
0.1680000000000001,21,size
0.1700000000000001,22,size
0.1700000000000001,23,size
0.1760000000000001,22,size
0.1780000000000001,23,size
0.1780000000000001,24,size
0.1840000000000001,23,size
0.1860000000000001,24,size
0.1860000000000001,25,size
0.19200000000000012,24,size
0.19400000000000012,25,size
0.19400000000000012,26,size
0.20000000000000012,25,size
0.20200000000000012,26,size
0.20200000000000012,27,size
0.20800000000000013,26,size
0.21000000000000013,27,size
0.21000000000000013,28,size
0.21600000000000014,27,size
0.21800000000000014,28,size
0.21800000000000014,29,size
0.22400000000000014,28,size
0.22600000000000015,29,size
0.22600000000000015,30,size
0.23200000000000015,29,size
0.23400000000000015,30,size
0.23400000000000015,31,size
0.24000000000000016,30,size
0.24200000000000016,31,size
0.24200000000000016,32,size
0.24800000000000016,31,size
0.25000000000000017,32,size
0.25000000000000017,33,size
0.25600000000000017,32,size
0.2580000000000002,33,size
0.2580000000000002,34,size
0.2640000000000002,33,size
0.2660000000000002,34,size
0.2660000000000002,35,size
0.2720000000000002,34,size
0.2740000000000002,35,size
0.2740000000000002,36,size
0.2800000000000002,35,size
0.2820000000000002,36,size
0.2820000000000002,37,size
0.2880000000000002,36,size
0.2900000000000002,37,size
0.2900000000000002,38,size
0.2960000000000002,37,size
0.2980000000000002,38,size
0.2980000000000002,39,size
0.3040000000000002,38,size
0.3060000000000002,39,size
0.3060000000000002,40,size
0.3120000000000002,39,size
0.3140000000000002,40,size
0.3140000000000002,41,size
0.32000000000000023,40,size
0.32200000000000023,41,size
0.32200000000000023,42,size
0.32800000000000024,41,size
0.33000000000000024,42,size
0.33000000000000024,43,size
0.33600000000000024,42,size
0.33800000000000024,43,size
0.33800000000000024,44,size
0.34400000000000025,43,size
0.34600000000000025,44,size
0.34600000000000025,45,size
0.35200000000000026,44,size
0.35400000000000026,45,size
0.35400000000000026,46,size
0.36000000000000026,45,size
0.36200000000000027,46,size
0.36200000000000027,47,size
0.36800000000000027,46,size
0.3700000000000003,47,size
0.3700000000000003,48,size
0.3760000000000003,47,size
0.3780000000000003,48,size
0.3780000000000003,49,size
0.3840000000000003,48,size
0.3860000000000003,49,size
0.3860000000000003,50,size
0.3920000000000003,49,size
0.3940000000000003,50,size
0.3940000000000003,51,size
0.4000000000000003,50,size
0.4020000000000003,51,size
0.4020000000000003,52,size
0.4080000000000003,51,size
0.4100000000000003,52,size
0.4100000000000003,53,size
0.4160000000000003,52,size
0.4180000000000003,53,size
0.4180000000000003,54,size
0.4240000000000003,53,size
0.4260000000000003,54,size
0.4260000000000003,55,size
0.43200000000000033,54,size
0.43400000000000033,55,size
0.43400000000000033,56,size
0.44000000000000034,55,size
0.44200000000000034,56,size
0.44200000000000034,57,size
0.44800000000000034,56,size
0.45000000000000034,57,size
0.45000000000000034,58,size
0.45600000000000035,57,size
0.45800000000000035,58,size
0.45800000000000035,59,size
0.46400000000000036,58,size
0.46600000000000036,59,size
0.46600000000000036,60,size
0.47200000000000036,59,size
0.47400000000000037,60,size
0.47400000000000037,61,size
0.48000000000000037,60,size
0.4820000000000004,61,size
0.4820000000000004,62,size
0.4880000000000004,61,size
0.4900000000000004,62,size
0.4900000000000004,63,size
0.4960000000000004,62,size
0.4980000000000004,63,size
0.4980000000000004,64,size
0.5040000000000003,63,size
0.5060000000000003,64,size
0.5060000000000003,65,size
0.5120000000000003,64,size
0.5140000000000003,65,size
0.5140000000000003,66,size
0.5200000000000004,65,size
0.5220000000000004,66,size
0.5220000000000004,67,size
0.5280000000000004,66,size
0.5300000000000004,67,size
0.5300000000000004,68,size
0.5360000000000004,67,size
0.5380000000000004,68,size
0.5380000000000004,69,size
0.5440000000000004,68,size
0.5460000000000004,69,size
0.5460000000000004,70,size
0.5520000000000004,69,size
0.5540000000000004,70,size
0.5540000000000004,71,size
0.5600000000000004,70,size
0.5620000000000004,71,size
0.5620000000000004,72,size
0.5680000000000004,71,size
0.5700000000000004,72,size
0.5700000000000004,73,size
0.5760000000000004,72,size
0.5780000000000004,73,size
0.5780000000000004,74,size
0.5840000000000004,73,size
0.5860000000000004,74,size
0.5860000000000004,75,size
0.5920000000000004,74,size
0.5940000000000004,75,size
0.5940000000000004,76,size
0.6000000000000004,75,size
0.6020000000000004,76,size
0.6020000000000004,77,size
0.6080000000000004,76,size
0.6100000000000004,77,size
0.6100000000000004,78,size
0.6160000000000004,77,size
0.6180000000000004,78,size
0.6180000000000004,79,size
0.6240000000000004,78,size
0.6260000000000004,79,size
0.6260000000000004,80,size
0.6320000000000005,79,size
0.6340000000000005,80,size
0.6340000000000005,81,size
0.6400000000000005,80,size
0.6420000000000005,81,size
0.6420000000000005,82,size
0.6480000000000005,81,size
0.6500000000000005,82,size
0.6500000000000005,83,size
0.6560000000000005,82,size
0.6580000000000005,83,size
0.6580000000000005,84,size
0.6640000000000005,83,size
0.6660000000000005,84,size
0.6660000000000005,85,size
0.6720000000000005,84,size
0.6740000000000005,85,size
0.6740000000000005,86,size
0.6800000000000005,85,size
0.6820000000000005,86,size
0.6820000000000005,87,size
0.6880000000000005,86,size
0.6900000000000005,87,size
0.6900000000000005,88,size
0.6960000000000005,87,size
0.6980000000000005,88,size
0.6980000000000005,89,size
0.7040000000000005,88,size
0.7060000000000005,89,size
0.7060000000000005,90,size
0.7120000000000005,89,size
0.7140000000000005,90,size
0.7140000000000005,91,size
0.7200000000000005,90,size
0.7220000000000005,91,size
0.7220000000000005,92,size
0.7280000000000005,91,size
0.7300000000000005,92,size
0.7300000000000005,93,size
0.7360000000000005,92,size
0.7380000000000005,93,size
0.7380000000000005,94,size
0.7440000000000005,93,size
0.7460000000000006,94,size
0.7460000000000006,95,size
0.7520000000000006,94,size
0.7540000000000006,95,size
0.7540000000000006,96,size
0.7600000000000006,95,size
0.7620000000000006,96,size
0.7620000000000006,97,size
0.7680000000000006,96,size
0.7700000000000006,97,size
0.7700000000000006,98,size
0.7760000000000006,97,size
0.7780000000000006,98,size
0.7780000000000006,99,size
0.7840000000000006,98,size
0.7860000000000006,99,size
0.7920000000000006,98,size
0.7940000000000006,99,size
0.8000000000000006,98,size
0.8020000000000006,99,size
0.8080000000000006,98,size
0.8100000000000006,99,size
0.8160000000000006,98,size
0.8180000000000006,99,size
0.8240000000000006,98,size
0.8260000000000006,99,size
0.8320000000000006,98,size
0.8340000000000006,99,size
0.8400000000000006,98,size
0.8420000000000006,99,size
0.8480000000000006,98,size
0.8500000000000006,99,size
0.8560000000000006,98,size
0.8580000000000007,99,size
0.8640000000000007,98,size
0.8660000000000007,99,size
0.8720000000000007,98,size
0.8740000000000007,99,size
0.8800000000000007,98,size
0.8820000000000007,99,size
0.8880000000000007,98,size
0.8900000000000007,99,size
0.8960000000000007,98,size
0.8980000000000007,99,size
0.9040000000000007,98,size
0.9060000000000007,99,size
0.9120000000000007,98,size
0.9140000000000007,99,size
0.9200000000000007,98,size
0.9220000000000007,99,size
0.9280000000000007,98,size
0.9300000000000007,99,size
0.9360000000000007,98,size
0.9380000000000007,99,size
0.9440000000000007,98,size
0.9460000000000007,99,size
0.9520000000000007,98,size
0.9540000000000007,99,size
0.9600000000000007,98,size
0.9620000000000007,99,size
0.9680000000000007,98,size
0.9700000000000008,99,size
0.9760000000000008,98,size
0.9780000000000008,99,size
0.9840000000000008,98,size
0.9860000000000008,99,size
0.9920000000000008,98,size
0.9940000000000008,99,size
1.0,100,size
1.0000000000000007,99,size
1.0020000000000007,100,size
1.0020000000000007,101,size
1.0080000000000007,100,size
1.0100000000000005,101,size
1.0100000000000005,102,size
1.0160000000000007,101,size
1.0180000000000005,102,size
1.0180000000000005,103,size
1.0240000000000007,102,size
1.0260000000000005,103,size
1.0260000000000005,104,size
1.0320000000000007,103,size
1.0340000000000005,104,size
1.0340000000000005,105,size
1.0400000000000007,104,size
1.0420000000000005,105,size
1.0420000000000005,106,size
1.0480000000000007,105,size
1.0500000000000005,106,size
1.0500000000000005,107,size
1.0560000000000007,106,size
1.0580000000000005,107,size
1.0580000000000005,108,size
1.0640000000000007,107,size
1.0660000000000005,108,size
1.0660000000000005,109,size
1.0720000000000007,108,size
1.0740000000000005,109,size
1.0740000000000005,110,size
1.0800000000000007,109,size
1.0820000000000005,110,size
1.0820000000000005,111,size
1.0880000000000007,110,size
1.0900000000000005,111,size
1.0900000000000005,112,size
1.0960000000000008,111,size
1.0980000000000005,112,size
1.0980000000000005,113,size
1.1040000000000008,112,size
1.1060000000000005,113,size
1.1060000000000005,114,size
1.1120000000000008,113,size
1.1140000000000005,114,size
1.1140000000000005,115,size
1.1200000000000008,114,size
1.1220000000000006,115,size
1.1220000000000006,116,size
1.1280000000000008,115,size
1.1300000000000006,116,size
1.1300000000000006,117,size
1.1360000000000008,116,size
1.1380000000000006,117,size
1.1380000000000006,118,size
1.1440000000000008,117,size
1.1460000000000006,118,size
1.1460000000000006,119,size
1.1520000000000008,118,size
1.1540000000000006,119,size
1.1540000000000006,120,size
1.1600000000000008,119,size
1.1620000000000006,120,size
1.1620000000000006,121,size
1.1680000000000008,120,size
1.1700000000000006,121,size
1.1700000000000006,122,size
1.1760000000000008,121,size
1.1780000000000006,122,size
1.1780000000000006,123,size
1.1840000000000008,122,size
1.1860000000000006,123,size
1.1860000000000006,124,size
1.1920000000000008,123,size
1.1940000000000006,124,size
1.1940000000000006,125,size
1.2000000000000008,124,size
1.2020000000000006,125,size
1.2020000000000006,126,size
1.2080000000000009,125,size
1.2100000000000006,126,size
1.2100000000000006,127,size
1.2160000000000009,126,size
1.2180000000000006,127,size
1.2180000000000006,128,size
1.2240000000000009,127,size
1.2260000000000006,128,size
1.2260000000000006,129,size
1.2320000000000009,128,size
1.2340000000000007,129,size
1.2340000000000007,130,size
1.2400000000000009,129,size
1.2420000000000007,130,size
1.2420000000000007,131,size
1.2480000000000009,130,size
1.2500000000000007,131,size
1.2500000000000007,132,size
1.256000000000001,131,size
1.2580000000000007,132,size
1.2580000000000007,133,size
1.264000000000001,132,size
1.2660000000000007,133,size
1.2660000000000007,134,size
1.272000000000001,133,size
1.2740000000000007,134,size
1.2740000000000007,135,size
1.280000000000001,134,size
1.2820000000000007,135,size
1.2820000000000007,136,size
1.288000000000001,135,size
1.2900000000000007,136,size
1.2900000000000007,137,size
1.296000000000001,136,size
1.2980000000000007,137,size
1.2980000000000007,138,size
1.304000000000001,137,size
1.3060000000000007,138,size
1.3060000000000007,139,size
1.312000000000001,138,size
1.3140000000000007,139,size
1.3140000000000007,140,size
1.320000000000001,139,size
1.3220000000000007,140,size
1.3220000000000007,141,size
1.328000000000001,140,size
1.3300000000000007,141,size
1.3300000000000007,142,size
1.336000000000001,141,size
1.3380000000000007,142,size
1.3380000000000007,143,size
1.344000000000001,142,size
1.3460000000000008,143,size
1.3460000000000008,144,size
1.352000000000001,143,size
1.3540000000000008,144,size
1.3540000000000008,145,size
1.360000000000001,144,size
1.3620000000000008,145,size
1.3620000000000008,146,size
1.368000000000001,145,size
1.3700000000000008,146,size
1.3700000000000008,147,size
1.376000000000001,146,size
1.3780000000000008,147,size
1.3780000000000008,148,size
1.384000000000001,147,size
1.3860000000000008,148,size
1.3860000000000008,149,size
1.392000000000001,148,size
1.3940000000000008,149,size
1.400000000000001,148,size
1.4020000000000008,149,size
1.408000000000001,148,size
1.4100000000000008,149,size
1.416000000000001,148,size
1.4180000000000008,149,size
1.424000000000001,148,size
1.4260000000000008,149,size
1.432000000000001,148,size
1.4340000000000008,149,size
1.440000000000001,148,size
1.4420000000000008,149,size
1.448000000000001,148,size
1.4500000000000008,149,size
1.456000000000001,148,size
1.4580000000000009,149,size
1.464000000000001,148,size
1.4660000000000009,149,size
1.472000000000001,148,size
1.4740000000000009,149,size
1.480000000000001,148,size
1.4820000000000009,149,size
1.488000000000001,148,size
1.4900000000000009,149,size
1.496000000000001,148,size
1.4980000000000009,149,size
1.5040000000000011,148,size
1.506000000000001,149,size
1.5120000000000011,148,size
1.514000000000001,149,size
1.5200000000000011,148,size
1.522000000000001,149,size
1.5280000000000011,148,size
1.530000000000001,149,size
1.5360000000000011,148,size
1.538000000000001,149,size
1.5440000000000011,148,size
1.546000000000001,149,size
1.5520000000000012,148,size
1.554000000000001,149,size
1.5600000000000012,148,size
1.562000000000001,149,size
1.5680000000000012,148,size
1.570000000000001,149,size
1.5760000000000012,148,size
1.578000000000001,149,size
1.5840000000000012,148,size
1.586000000000001,149,size
1.5920000000000012,148,size
1.594000000000001,149,size
1.6000000000000012,148,size
1.602000000000001,149,size
1.6080000000000012,148,size
1.610000000000001,149,size
1.6160000000000012,148,size
1.618000000000001,149,size
1.6240000000000012,148,size
1.626000000000001,149,size
1.6320000000000012,148,size
1.634000000000001,149,size
1.6400000000000012,148,size
1.642000000000001,149,size
1.6480000000000012,148,size
1.650000000000001,149,size
1.6560000000000012,148,size
1.658000000000001,149,size
1.6640000000000013,148,size
1.666000000000001,149,size
1.6720000000000013,148,size
1.674000000000001,149,size
1.6800000000000013,148,size
1.682000000000001,149,size
1.6880000000000013,148,size
1.690000000000001,149,size
1.6960000000000013,148,size
1.698000000000001,149,size
1.7040000000000013,148,size
1.706000000000001,149,size
1.7120000000000013,148,size
1.714000000000001,149,size
1.7200000000000013,148,size
1.722000000000001,149,size
1.7280000000000013,148,size
1.730000000000001,149,size
1.7360000000000013,148,size
1.738000000000001,149,size
1.7440000000000013,148,size
1.746000000000001,149,size
1.7520000000000013,148,size
1.7540000000000011,149,size
1.7600000000000013,148,size
1.7620000000000011,149,size
1.7680000000000013,148,size
1.7700000000000011,149,size
1.7760000000000014,148,size
1.7780000000000011,149,size
1.7840000000000014,148,size
1.7860000000000011,149,size
1.7920000000000014,148,size
1.7940000000000011,149,size
1.8000000000000014,148,size
1.8080000000000014,147,size
1.8160000000000014,146,size
1.8180000000000012,147,size
1.8240000000000014,146,size
1.8320000000000014,145,size
1.8400000000000014,144,size
1.8480000000000014,143,size
1.8560000000000014,142,size
1.8640000000000014,141,size
1.8720000000000014,140,size
1.8800000000000014,139,size
1.8880000000000015,138,size
1.8960000000000015,137,size
1.9040000000000015,136,size
1.9120000000000015,135,size
1.9200000000000015,134,size
1.9280000000000015,133,size
1.9360000000000015,132,size
1.9440000000000015,131,size
1.9520000000000015,130,size
1.9600000000000015,129,size
1.9680000000000015,128,size
1.9760000000000015,127,size
1.9840000000000015,126,size
1.9920000000000015,125,size
2.0000000000000013,124,size
2.0020000000000007,125,size
2.0080000000000013,124,size
2.0160000000000013,123,size
2.0240000000000014,122,size
2.0320000000000014,121,size
2.0400000000000014,120,size
2.0480000000000014,119,size
2.0560000000000014,118,size
2.0640000000000014,117,size
2.0720000000000014,116,size
2.0800000000000014,115,size
2.0880000000000014,114,size
2.0960000000000014,113,size
2.1040000000000014,112,size
2.1120000000000014,111,size
2.1200000000000014,110,size
2.1280000000000014,109,size
2.1360000000000015,108,size
2.1440000000000015,107,size
2.1520000000000015,106,size
2.1600000000000015,105,size
2.1680000000000015,104,size
2.1760000000000015,103,size
2.1840000000000015,102,size
2.1920000000000015,101,size
2.2000000000000015,100,size
2.2080000000000015,99,size
2.2160000000000015,98,size
2.2240000000000015,97,size
2.2320000000000015,96,size
2.2400000000000015,95,size
2.2480000000000016,94,size
2.2560000000000016,93,size
2.2640000000000016,92,size
2.2720000000000016,91,size
2.2800000000000016,90,size
2.2880000000000016,89,size
2.2960000000000016,88,size
2.3040000000000016,87,size
2.3120000000000016,86,size
2.3200000000000016,85,size
2.3280000000000016,84,size
2.3360000000000016,83,size
2.3440000000000016,82,size
2.3520000000000016,81,size
2.3600000000000017,80,size
2.3680000000000017,79,size
2.3760000000000017,78,size
2.3840000000000017,77,size
2.3920000000000017,76,size
2.4000000000000017,75,size
2.4080000000000017,74,size
2.4160000000000017,73,size
2.4240000000000017,72,size
2.4320000000000017,71,size
2.4400000000000017,70,size
2.4480000000000017,69,size
2.4560000000000017,68,size
2.4640000000000017,67,size
2.4720000000000018,66,size
2.4800000000000018,65,size
2.4880000000000018,64,size
2.4960000000000018,63,size
2.504000000000002,62,size
2.512000000000002,61,size
2.520000000000002,60,size
2.528000000000002,59,size
2.536000000000002,58,size
2.544000000000002,57,size
2.552000000000002,56,size
2.560000000000002,55,size
2.568000000000002,54,size
2.576000000000002,53,size
2.584000000000002,52,size
2.592000000000002,51,size
2.600000000000002,50,size
2.6020000000000016,51,size
2.6020000000000016,52,size
2.6020000000000016,53,size
2.6020000000000016,54,size
2.6020000000000016,55,size
2.6020000000000016,56,size
2.6020000000000016,57,size
2.6020000000000016,58,size
2.6020000000000016,59,size
2.6020000000000016,60,size
2.6020000000000016,61,size
2.608000000000002,60,size
2.6100000000000017,61,size
2.616000000000002,60,size
2.6180000000000017,61,size
2.624000000000002,60,size
2.6260000000000017,61,size
2.632000000000002,60,size
2.6340000000000017,61,size
2.640000000000002,60,size
2.6420000000000017,61,size
2.648000000000002,60,size
2.6500000000000017,61,size
2.656000000000002,60,size
2.6580000000000017,61,size
2.664000000000002,60,size
2.6660000000000017,61,size
2.672000000000002,60,size
2.6740000000000017,61,size
2.680000000000002,60,size
2.6820000000000017,61,size
2.688000000000002,60,size
2.6900000000000017,61,size
2.696000000000002,60,size
2.6980000000000017,61,size
2.704000000000002,60,size
2.7060000000000017,61,size
2.712000000000002,60,size
2.7140000000000017,61,size
2.720000000000002,60,size
2.7220000000000018,61,size
2.728000000000002,60,size
2.7300000000000018,61,size
2.736000000000002,60,size
2.7380000000000018,61,size
2.744000000000002,60,size
2.7460000000000018,61,size
2.752000000000002,60,size
2.754000000000002,61,size
2.760000000000002,60,size
2.762000000000002,61,size
2.768000000000002,60,size
2.770000000000002,61,size
2.776000000000002,60,size
2.778000000000002,61,size
2.784000000000002,60,size
2.786000000000002,61,size
2.792000000000002,60,size
2.794000000000002,61,size
2.800000000000002,60,size
2.802000000000002,61,size
2.808000000000002,60,size
2.810000000000002,61,size
2.816000000000002,60,size
2.818000000000002,61,size
2.824000000000002,60,size
2.826000000000002,61,size
2.832000000000002,60,size
2.834000000000002,61,size
2.840000000000002,60,size
2.842000000000002,61,size
2.848000000000002,60,size
2.850000000000002,61,size
2.856000000000002,60,size
2.858000000000002,61,size
2.864000000000002,60,size
2.866000000000002,61,size
2.872000000000002,60,size
2.874000000000002,61,size
2.880000000000002,60,size
2.882000000000002,61,size
2.888000000000002,60,size
2.890000000000002,61,size
2.896000000000002,60,size
2.898000000000002,61,size
2.904000000000002,60,size
2.906000000000002,61,size
2.912000000000002,60,size
2.914000000000002,61,size
2.920000000000002,60,size
2.922000000000002,61,size
2.928000000000002,60,size
2.930000000000002,61,size
2.936000000000002,60,size
2.938000000000002,61,size
2.944000000000002,60,size
2.946000000000002,61,size
2.952000000000002,60,size
2.954000000000002,61,size
2.960000000000002,60,size
2.962000000000002,61,size
2.968000000000002,60,size
2.970000000000002,61,size
2.976000000000002,60,size
2.978000000000002,61,size
2.984000000000002,60,size
2.986000000000002,61,size
2.992000000000002,60,size
2.994000000000002,61,size
3.000000000000002,60,size
3.0080000000000022,59,size
3.0160000000000022,58,size
3.018000000000002,59,size
3.0240000000000022,58,size
3.0320000000000022,57,size
3.0400000000000023,56,size
3.0480000000000023,55,size
3.0560000000000023,54,size
3.0640000000000023,53,size
3.0720000000000023,52,size
3.0800000000000023,51,size
3.0880000000000023,50,size
3.0960000000000023,49,size
3.1040000000000023,48,size
3.1120000000000023,47,size
3.1200000000000023,46,size
3.1280000000000023,45,size
3.1360000000000023,44,size
3.1440000000000023,43,size
3.1520000000000024,42,size
3.1600000000000024,41,size
3.1680000000000024,40,size
3.1760000000000024,39,size
3.1840000000000024,38,size
3.1920000000000024,37,size
3.2000000000000024,36,size
3.2080000000000024,35,size
3.2160000000000024,34,size
3.2240000000000024,33,size
3.2320000000000024,32,size
3.2400000000000024,31,size
3.2480000000000024,30,size
3.2560000000000024,29,size
3.2640000000000025,28,size
3.2720000000000025,27,size
3.2800000000000025,26,size
3.2880000000000025,25,size
3.2960000000000025,24,size
3.3040000000000025,23,size
3.3120000000000025,22,size
3.3200000000000025,21,size
3.3280000000000025,20,size
3.3360000000000025,19,size
3.3440000000000025,18,size
3.3520000000000025,17,size
3.3600000000000025,16,size
3.3680000000000025,15,size
3.3760000000000026,14,size
3.3840000000000026,13,size
3.3920000000000026,12,size
3.4000000000000026,11,size
3.4080000000000026,10,size
3.4100000000000024,11,size
3.4100000000000024,12,size
3.4100000000000024,13,size
3.4100000000000024,14,size
3.4100000000000024,15,size
3.4160000000000026,14,size
3.4180000000000024,15,size
3.4240000000000026,14,size
3.4260000000000024,15,size
3.4320000000000026,14,size
3.4340000000000024,15,size
3.4400000000000026,14,size
3.4420000000000024,15,size
3.4480000000000026,14,size
3.4500000000000024,15,size
3.4560000000000026,14,size
3.4580000000000024,15,size
3.4640000000000026,14,size
3.4660000000000024,15,size
3.4720000000000026,14,size
3.4740000000000024,15,size
3.4800000000000026,14,size
3.4820000000000024,15,size
3.4880000000000027,14,size
3.4900000000000024,15,size
3.4960000000000027,14,size
3.5040000000000027,13,size
3.5120000000000027,12,size
3.5140000000000025,13,size
3.5200000000000027,12,size
3.5280000000000027,11,size
3.5360000000000027,10,size
3.5440000000000027,9,size
3.5520000000000027,8,size
3.5600000000000027,7,size
3.5680000000000027,6,size
3.5760000000000027,5,size
3.5840000000000027,4,size
3.5860000000000025,5,size
3.5860000000000025,6,size
3.5920000000000027,5,size
3.5940000000000025,6,size
3.6000000000000028,5,size
3.6020000000000025,6,size
3.6080000000000028,5,size
3.6100000000000025,6,size
3.6160000000000028,5,size
3.6180000000000025,6,size
3.6240000000000028,5,size
3.632000000000003,4,size
3.640000000000003,3,size
3.6420000000000026,4,size
3.648000000000003,3,size
3.656000000000003,2,size
3.664000000000003,1,size
3.6660000000000026,2,size
3.672000000000003,1,size
3.6740000000000026,2,size
3.680000000000003,1,size
3.688000000000003,0,size
